config,seed,trial,clean_best_so_far
A: baseline (plain GP),42,1,0.004226039557924939
A: baseline (plain GP),42,2,0.022904158147299236
A: baseline (plain GP),42,3,0.11659351721253003
A: baseline (plain GP),42,4,0.11659351721253003
A: baseline (plain GP),42,5,0.11659351721253003
A: baseline (plain GP),42,6,0.11659351721253003
A: baseline (plain GP),42,7,0.14764073223306734
A: baseline (plain GP),42,8,0.14764073223306734
A: baseline (plain GP),42,9,0.14764073223306734
A: baseline (plain GP),42,10,0.16060015429315158
A: baseline (plain GP),42,11,0.316964560748772
A: baseline (plain GP),42,12,0.316964560748772
A: baseline (plain GP),42,13,0.326041703953067
A: baseline (plain GP),42,14,0.34032681309740836
A: baseline (plain GP),42,15,0.34032681309740836
A: baseline (plain GP),42,16,0.34032681309740836
A: baseline (plain GP),42,17,0.34032681309740836
A: baseline (plain GP),42,18,0.34032681309740836
A: baseline (plain GP),42,19,0.34032681309740836
A: baseline (plain GP),42,20,0.34032681309740836
A: baseline (plain GP),42,21,0.34032681309740836
A: baseline (plain GP),43,1,0.00414656867603559
A: baseline (plain GP),43,2,0.0032620459757056945
A: baseline (plain GP),43,3,0.24576811961858747
A: baseline (plain GP),43,4,0.24576811961858747
A: baseline (plain GP),43,5,0.24576811961858747
A: baseline (plain GP),43,6,0.24576811961858747
A: baseline (plain GP),43,7,0.24576811961858747
A: baseline (plain GP),43,8,0.24211577439878176
A: baseline (plain GP),43,9,0.24211577439878176
A: baseline (plain GP),43,10,0.24211577439878176
A: baseline (plain GP),43,11,0.2637674523534832
A: baseline (plain GP),43,12,0.2637674523534832
A: baseline (plain GP),43,13,0.2637674523534832
A: baseline (plain GP),43,14,0.32429610541474757
A: baseline (plain GP),43,15,0.3387479201898612
A: baseline (plain GP),43,16,0.3387479201898612
A: baseline (plain GP),43,17,0.3387479201898612
A: baseline (plain GP),43,18,0.3387479201898612
A: baseline (plain GP),43,19,0.3387479201898612
A: baseline (plain GP),43,20,0.3387479201898612
A: baseline (plain GP),43,21,0.3387479201898612
A: baseline (plain GP),44,1,0.013187579523244909
A: baseline (plain GP),44,2,0.07103377611999968
A: baseline (plain GP),44,3,0.07103377611999968
A: baseline (plain GP),44,4,0.07103377611999968
A: baseline (plain GP),44,5,0.07103377611999968
A: baseline (plain GP),44,6,0.07103377611999968
A: baseline (plain GP),44,7,0.07103377611999968
A: baseline (plain GP),44,8,0.11151779990446424
A: baseline (plain GP),44,9,0.11151779990446424
A: baseline (plain GP),44,10,0.11151779990446424
A: baseline (plain GP),44,11,0.11151779990446424
A: baseline (plain GP),44,12,0.11650473469040422
A: baseline (plain GP),44,13,0.11650473469040422
A: baseline (plain GP),44,14,0.11650473469040422
A: baseline (plain GP),44,15,0.19759972013715116
A: baseline (plain GP),44,16,0.2162295072546095
A: baseline (plain GP),44,17,0.24775855328031254
A: baseline (plain GP),44,18,0.2652841825960453
A: baseline (plain GP),44,19,0.29963535099211946
A: baseline (plain GP),44,20,0.29963535099211946
A: baseline (plain GP),44,21,0.29963535099211946
A: baseline (plain GP),45,1,0.06945919407802215
A: baseline (plain GP),45,2,0.06945919407802215
A: baseline (plain GP),45,3,0.06945919407802215
A: baseline (plain GP),45,4,0.0903268072906483
A: baseline (plain GP),45,5,0.0903268072906483
A: baseline (plain GP),45,6,0.0903268072906483
A: baseline (plain GP),45,7,0.17763659099272233
A: baseline (plain GP),45,8,0.17763659099272233
A: baseline (plain GP),45,9,0.17763659099272233
A: baseline (plain GP),45,10,0.17763659099272233
A: baseline (plain GP),45,11,0.17763659099272233
A: baseline (plain GP),45,12,0.17763659099272233
A: baseline (plain GP),45,13,0.2043593184897828
A: baseline (plain GP),45,14,0.2043593184897828
A: baseline (plain GP),45,15,0.2766515037809099
A: baseline (plain GP),45,16,0.32238213159521023
A: baseline (plain GP),45,17,0.34531446206787075
A: baseline (plain GP),45,18,0.34695324421859547
A: baseline (plain GP),45,19,0.34695324421859547
A: baseline (plain GP),45,20,0.34695324421859547
A: baseline (plain GP),45,21,0.34695324421859547
A: baseline (plain GP),46,1,0.0022365396083491
A: baseline (plain GP),46,2,0.020977340967156654
A: baseline (plain GP),46,3,0.020977340967156654
A: baseline (plain GP),46,4,0.09859505457393253
A: baseline (plain GP),46,5,0.09859505457393253
A: baseline (plain GP),46,6,0.09859505457393253
A: baseline (plain GP),46,7,0.09859505457393253
A: baseline (plain GP),46,8,0.09859505457393253
A: baseline (plain GP),46,9,0.09859505457393253
A: baseline (plain GP),46,10,0.14297180448356192
A: baseline (plain GP),46,11,0.23225608418700489
A: baseline (plain GP),46,12,0.23225608418700489
A: baseline (plain GP),46,13,0.2719235635725832
A: baseline (plain GP),46,14,0.3104919877208604
A: baseline (plain GP),46,15,0.3286651747127352
A: baseline (plain GP),46,16,0.3286651747127352
A: baseline (plain GP),46,17,0.3485918721946303
A: baseline (plain GP),46,18,0.3485918721946303
A: baseline (plain GP),46,19,0.3485918721946303
A: baseline (plain GP),46,20,0.3485918721946303
A: baseline (plain GP),46,21,0.3485918721946303
②: random_augment only,42,1,0.004226039557924939
②: random_augment only,42,2,0.022904158147299236
②: random_augment only,42,3,0.11659351721253003
②: random_augment only,42,4,0.11659351721253003
②: random_augment only,42,5,0.11659351721253003
②: random_augment only,42,6,0.11659351721253003
②: random_augment only,42,7,0.11659351721253003
②: random_augment only,42,8,0.1406478076332864
②: random_augment only,42,9,0.18447710942775944
②: random_augment only,42,10,0.20856457647844318
②: random_augment only,42,11,0.23043466379046001
②: random_augment only,42,12,0.23043466379046001
②: random_augment only,42,13,0.2579540744696213
②: random_augment only,42,14,0.2579540744696213
②: random_augment only,42,15,0.2579540744696213
②: random_augment only,42,16,0.2579540744696213
②: random_augment only,42,17,0.2579540744696213
②: random_augment only,42,18,0.2579540744696213
②: random_augment only,42,19,0.2579540744696213
②: random_augment only,42,20,0.2579540744696213
②: random_augment only,42,21,0.2579540744696213
②: random_augment only,43,1,0.00414656867603559
②: random_augment only,43,2,0.0032620459757056945
②: random_augment only,43,3,0.24576811961858747
②: random_augment only,43,4,0.24576811961858747
②: random_augment only,43,5,0.24576811961858747
②: random_augment only,43,6,0.24576811961858747
②: random_augment only,43,7,0.24505423844253224
②: random_augment only,43,8,0.24632986277940844
②: random_augment only,43,9,0.24632986277940844
②: random_augment only,43,10,0.24676299564449955
②: random_augment only,43,11,0.28607744517925127
②: random_augment only,43,12,0.31799878573298385
②: random_augment only,43,13,0.32686313448849996
②: random_augment only,43,14,0.32686313448849996
②: random_augment only,43,15,0.32686313448849996
②: random_augment only,43,16,0.3358386071078623
②: random_augment only,43,17,0.3358386071078623
②: random_augment only,43,18,0.3358386071078623
②: random_augment only,43,19,0.3358386071078623
②: random_augment only,43,20,0.3437274313331388
②: random_augment only,43,21,0.3437274313331388
②: random_augment only,44,1,0.013187579523244909
②: random_augment only,44,2,0.07103377611999968
②: random_augment only,44,3,0.07103377611999968
②: random_augment only,44,4,0.07103377611999968
②: random_augment only,44,5,0.07103377611999968
②: random_augment only,44,6,0.07103377611999968
②: random_augment only,44,7,0.07103377611999968
②: random_augment only,44,8,0.07103377611999968
②: random_augment only,44,9,0.06974034770698939
②: random_augment only,44,10,0.06974034770698939
②: random_augment only,44,11,0.07259308071710248
②: random_augment only,44,12,0.12477193187685826
②: random_augment only,44,13,0.12477193187685826
②: random_augment only,44,14,0.13862187072562157
②: random_augment only,44,15,0.18933870115972673
②: random_augment only,44,16,0.18933870115972673
②: random_augment only,44,17,0.18933870115972673
②: random_augment only,44,18,0.2099712287023215
②: random_augment only,44,19,0.2099712287023215
②: random_augment only,44,20,0.22543160109423638
②: random_augment only,44,21,0.24130439239425341
②: random_augment only,45,1,0.06945919407802215
②: random_augment only,45,2,0.06945919407802215
②: random_augment only,45,3,0.06945919407802215
②: random_augment only,45,4,0.0903268072906483
②: random_augment only,45,5,0.0903268072906483
②: random_augment only,45,6,0.0903268072906483
②: random_augment only,45,7,0.0903268072906483
②: random_augment only,45,8,0.09917198965778753
②: random_augment only,45,9,0.19580812012459514
②: random_augment only,45,10,0.21324187803360178
②: random_augment only,45,11,0.22506302288459884
②: random_augment only,45,12,0.23298937326742855
②: random_augment only,45,13,0.2632319317085215
