config,clean_final,gap_final,clean@doe_end,clean@mid,trials_to_95% (median),%seeds_hit_95,Δ gap vs baseline (%)
⑤: mono + gp_prior (rescued),0.3414,0.0081,0.0986,0.2537,19,60,12.0
③: gp_prior only,0.3409,0.0087,0.0986,0.2261,21,60,5.4
A: baseline (plain GP),0.3403,0.0092,0.0986,0.2638,17,80,0.0
④: Arrhenius mean only,0.3344,0.0151,0.0986,0.2569,20,80,-64.1
①: full domain knowledge,0.324,0.0256,0.0986,0.2304,22,40,-178.3
②: random_augment only,0.258,0.0916,0.0986,0.258,22,20,-895.7
G: WRONG-direction monotone,0.1699,0.1796,0.0986,0.14,22,0,-1852.2
