config,seed,trial,clean_best_so_far
A: baseline (plain GP),42,1,0.0020772544260588698
A: baseline (plain GP),42,2,0.0020772544260588698
A: baseline (plain GP),42,3,6.747159300802376e-06
A: baseline (plain GP),42,4,0.003018282546886445
A: baseline (plain GP),42,5,0.003018282546886445
A: baseline (plain GP),42,6,0.003018282546886445
A: baseline (plain GP),42,7,0.003018282546886445
A: baseline (plain GP),42,8,0.003018282546886445
A: baseline (plain GP),42,9,0.003018282546886445
A: baseline (plain GP),42,10,0.003018282546886445
A: baseline (plain GP),42,11,0.003018282546886445
A: baseline (plain GP),42,12,0.026760695762324548
A: baseline (plain GP),42,13,0.026760695762324548
A: baseline (plain GP),42,14,0.04195758188422384
A: baseline (plain GP),42,15,0.04195758188422384
A: baseline (plain GP),42,16,0.04195758188422384
A: baseline (plain GP),42,17,0.04195758188422384
A: baseline (plain GP),42,18,0.04195758188422384
A: baseline (plain GP),42,19,0.04195758188422384
A: baseline (plain GP),42,20,0.04195758188422384
A: baseline (plain GP),42,21,0.0653035938325168
A: baseline (plain GP),43,1,0.002026641093961663
A: baseline (plain GP),43,2,0.001853296066491698
A: baseline (plain GP),43,3,0.053811082628503926
A: baseline (plain GP),43,4,0.053811082628503926
A: baseline (plain GP),43,5,0.053811082628503926
A: baseline (plain GP),43,6,0.053811082628503926
A: baseline (plain GP),43,7,0.053811082628503926
A: baseline (plain GP),43,8,0.053811082628503926
A: baseline (plain GP),43,9,0.053811082628503926
A: baseline (plain GP),43,10,0.053811082628503926
A: baseline (plain GP),43,11,0.053811082628503926
A: baseline (plain GP),43,12,0.053811082628503926
A: baseline (plain GP),43,13,0.08248380931830936
A: baseline (plain GP),43,14,0.08248380931830936
A: baseline (plain GP),43,15,0.08248380931830936
A: baseline (plain GP),43,16,0.08248380931830936
A: baseline (plain GP),43,17,0.11931960584011109
A: baseline (plain GP),43,18,0.1854331692951468
A: baseline (plain GP),43,19,0.1854331692951468
A: baseline (plain GP),43,20,0.2366407878528261
A: baseline (plain GP),43,21,0.2826241864664155
A: baseline (plain GP),44,1,7.319904085289217e-06
A: baseline (plain GP),44,2,0.05531052235208306
A: baseline (plain GP),44,3,0.05531052235208306
A: baseline (plain GP),44,4,0.05531052235208306
A: baseline (plain GP),44,5,0.05531052235208306
A: baseline (plain GP),44,6,0.05531052235208306
A: baseline (plain GP),44,7,0.05531052235208306
A: baseline (plain GP),44,8,0.05531052235208306
A: baseline (plain GP),44,9,0.05531052235208306
A: baseline (plain GP),44,10,0.077248745043732
A: baseline (plain GP),44,11,0.077248745043732
A: baseline (plain GP),44,12,0.077248745043732
A: baseline (plain GP),44,13,0.077248745043732
A: baseline (plain GP),44,14,0.077248745043732
A: baseline (plain GP),44,15,0.06985462635718524
A: baseline (plain GP),44,16,0.06985462635718524
A: baseline (plain GP),44,17,0.13492611757395942
A: baseline (plain GP),44,18,0.15522746131888196
A: baseline (plain GP),44,19,0.16857702621407458
A: baseline (plain GP),44,20,0.16857702621407458
A: baseline (plain GP),44,21,0.20160359520428398
A: baseline (plain GP),45,1,5.972687764684356e-06
A: baseline (plain GP),45,2,0.006786511289121916
A: baseline (plain GP),45,3,0.0006739335744159618
A: baseline (plain GP),45,4,0.07519323649569942
A: baseline (plain GP),45,5,0.07519323649569942
A: baseline (plain GP),45,6,0.07519323649569942
A: baseline (plain GP),45,7,0.07519323649569942
A: baseline (plain GP),45,8,0.07519323649569942
A: baseline (plain GP),45,9,0.12483809197260219
A: baseline (plain GP),45,10,0.1916450018231646
A: baseline (plain GP),45,11,0.19766732443167268
A: baseline (plain GP),45,12,0.19766732443167268
A: baseline (plain GP),45,13,0.19766732443167268
A: baseline (plain GP),45,14,0.19766732443167268
A: baseline (plain GP),45,15,0.22170837150398667
A: baseline (plain GP),45,16,0.22170837150398667
A: baseline (plain GP),45,17,0.22170837150398667
A: baseline (plain GP),45,18,0.22170837150398667
A: baseline (plain GP),45,19,0.2580278495567735
A: baseline (plain GP),45,20,0.2580278495567735
A: baseline (plain GP),45,21,0.2580278495567735
A: baseline (plain GP),46,1,0.00014408075861248272
A: baseline (plain GP),46,2,1.1750699130467002e-07
A: baseline (plain GP),46,3,1.1750699130467002e-07
A: baseline (plain GP),46,4,0.017995106202638417
A: baseline (plain GP),46,5,0.017995106202638417
A: baseline (plain GP),46,6,0.017995106202638417
A: baseline (plain GP),46,7,0.017995106202638417
A: baseline (plain GP),46,8,0.017995106202638417
A: baseline (plain GP),46,9,0.025798861371264574
A: baseline (plain GP),46,10,0.025798861371264574
A: baseline (plain GP),46,11,0.025798861371264574
A: baseline (plain GP),46,12,0.025798861371264574
A: baseline (plain GP),46,13,0.025798861371264574
A: baseline (plain GP),46,14,0.025798861371264574
A: baseline (plain GP),46,15,0.025798861371264574
A: baseline (plain GP),46,16,0.025291995798484773
A: baseline (plain GP),46,17,0.025291995798484773
A: baseline (plain GP),46,18,0.025291995798484773
A: baseline (plain GP),46,19,0.025291995798484773
A: baseline (plain GP),46,20,0.025291995798484773
A: baseline (plain GP),46,21,0.025291995798484773
②: random_augment only,42,1,0.0020772544260588698
②: random_augment only,42,2,0.0020772544260588698
②: random_augment only,42,3,6.747159300802376e-06
②: random_augment only,42,4,0.003018282546886445
②: random_augment only,42,5,0.003018282546886445
②: random_augment only,42,6,0.003018282546886445
②: random_augment only,42,7,0.003018282546886445
②: random_augment only,42,8,0.003018282546886445
②: random_augment only,42,9,0.003018282546886445
②: random_augment only,42,10,0.003018282546886445
②: random_augment only,42,11,0.003018282546886445
②: random_augment only,42,12,0.01587297423932669
②: random_augment only,42,13,0.01587297423932669
②: random_augment only,42,14,0.032214916066895395
②: random_augment only,42,15,0.032214916066895395
②: random_augment only,42,16,0.032214916066895395
②: random_augment only,42,17,0.032214916066895395
②: random_augment only,42,18,0.032214916066895395
②: random_augment only,42,19,0.032214916066895395
②: random_augment only,42,20,0.06279793559646916
②: random_augment only,42,21,0.06279793559646916
②: random_augment only,43,1,0.002026641093961663
②: random_augment only,43,2,0.001853296066491698
②: random_augment only,43,3,0.053811082628503926
②: random_augment only,43,4,0.053811082628503926
②: random_augment only,43,5,0.053811082628503926
②: random_augment only,43,6,0.053811082628503926
②: random_augment only,43,7,0.053811082628503926
②: random_augment only,43,8,0.048578373219963965
