config,seed,trial,clean_best_so_far
②: random_augment only,43,12,0.6048872027588001
②: random_augment only,43,13,0.6048872027588001
②: random_augment only,43,14,0.6048872027588001
②: random_augment only,43,15,0.6048872027588001
②: random_augment only,43,16,0.6048872027588001
②: random_augment only,43,17,0.6048872027588001
②: random_augment only,43,18,0.6048872027588001
②: random_augment only,43,19,0.6048872027588001
②: random_augment only,43,20,0.6048872027588001
②: random_augment only,43,21,0.6048872027588001
②: random_augment only,44,1,0.490520292401848
②: random_augment only,44,2,0.490520292401848
②: random_augment only,44,3,0.490520292401848
②: random_augment only,44,4,0.490520292401848
②: random_augment only,44,5,0.490520292401848
②: random_augment only,44,6,0.490520292401848
②: random_augment only,44,7,0.490520292401848
②: random_augment only,44,8,0.522352185485249
②: random_augment only,44,9,0.522352185485249
②: random_augment only,44,10,0.6052312924634595
②: random_augment only,44,11,0.6052312924634595
②: random_augment only,44,12,0.6043763806932454
②: random_augment only,44,13,0.6043763806932454
②: random_augment only,44,14,0.6043763806932454
②: random_augment only,44,15,0.6043763806932454
②: random_augment only,44,16,0.6043763806932454
②: random_augment only,44,17,0.6043763806932454
②: random_augment only,44,18,0.6043763806932454
②: random_augment only,44,19,0.6043763806932454
②: random_augment only,44,20,0.6043763806932454
②: random_augment only,44,21,0.6043763806932454
②: random_augment only,45,1,0.1529420458340148
②: random_augment only,45,2,0.2636835884237844
②: random_augment only,45,3,0.4969742837987084
②: random_augment only,45,4,0.48989068524803253
②: random_augment only,45,5,0.48989068524803253
②: random_augment only,45,6,0.48989068524803253
②: random_augment only,45,7,0.48989068524803253
②: random_augment only,45,8,0.5166293476730544
②: random_augment only,45,9,0.5166293476730544
②: random_augment only,45,10,0.5166293476730544
②: random_augment only,45,11,0.5166293476730544
②: random_augment only,45,12,0.5449332166080378
②: random_augment only,45,13,0.5449332166080378
②: random_augment only,45,14,0.5612505106459249
②: random_augment only,45,15,0.5612505106459249
②: random_augment only,45,16,0.5612505106459249
②: random_augment only,45,17,0.5612505106459249
②: random_augment only,45,18,0.6012014457394816
②: random_augment only,45,19,0.6012014457394816
②: random_augment only,45,20,0.6012014457394816
②: random_augment only,45,21,0.6012014457394816
②: random_augment only,46,1,0.38764724215179136
②: random_augment only,46,2,0.38764724215179136
②: random_augment only,46,3,0.4345708455086277
②: random_augment only,46,4,0.48320003916499693
②: random_augment only,46,5,0.48320003916499693
②: random_augment only,46,6,0.48320003916499693
②: random_augment only,46,7,0.48320003916499693
②: random_augment only,46,8,0.48320003916499693
②: random_augment only,46,9,0.48320003916499693
②: random_augment only,46,10,0.48320003916499693
②: random_augment only,46,11,0.5023472693449627
②: random_augment only,46,12,0.5023472693449627
②: random_augment only,46,13,0.6024074184561871
②: random_augment only,46,14,0.6024074184561871
②: random_augment only,46,15,0.601924781308327
②: random_augment only,46,16,0.6044269050560965
②: random_augment only,46,17,0.6044269050560965
②: random_augment only,46,18,0.6044269050560965
②: random_augment only,46,19,0.6044269050560965
②: random_augment only,46,20,0.6044269050560965
②: random_augment only,46,21,0.6044269050560965
③: gp_prior only,42,1,0.30064198627220906
③: gp_prior only,42,2,0.5151725753891216
③: gp_prior only,42,3,0.5075260754860572
③: gp_prior only,42,4,0.5075260754860572
③: gp_prior only,42,5,0.5075260754860572
③: gp_prior only,42,6,0.5075260754860572
③: gp_prior only,42,7,0.5805583967440605
③: gp_prior only,42,8,0.5980130401596726
③: gp_prior only,42,9,0.6065283594427204
③: gp_prior only,42,10,0.6065283594427204
③: gp_prior only,42,11,0.6065283594427204
③: gp_prior only,42,12,0.6055530492094001
③: gp_prior only,42,13,0.6055530492094001
③: gp_prior only,42,14,0.6055530492094001
③: gp_prior only,42,15,0.6055530492094001
③: gp_prior only,42,16,0.6055530492094001
③: gp_prior only,42,17,0.6055530492094001
③: gp_prior only,42,18,0.6055530492094001
③: gp_prior only,42,19,0.6055530492094001
③: gp_prior only,42,20,0.6055530492094001
③: gp_prior only,42,21,0.6055530492094001
③: gp_prior only,43,1,0.09216088394989201
