config,seed,clean_final,gap_final,clean@doe_end,clean@mid,trials_to_95pct,secs,_ttg
A: baseline (plain GP),42,0.0653035938325168,0.28425640616748316,0.003018282546886445,0.026760695762324548,,10.19615387916565,22.0
A: baseline (plain GP),43,0.2826241864664155,0.06693581353358447,0.053811082628503926,0.08248380931830936,,8.50991702079773,22.0
A: baseline (plain GP),44,0.20160359520428398,0.147956404795716,0.05531052235208306,0.077248745043732,,9.768540859222412,22.0
A: baseline (plain GP),45,0.2580278495567735,0.09153215044322649,0.07519323649569942,0.19766732443167268,,9.916263103485107,22.0
A: baseline (plain GP),46,0.025291995798484773,0.3242680042015152,0.017995106202638417,0.025798861371264574,,10.866494178771973,22.0
②: random_augment only,42,0.06279793559646916,0.2867620644035308,0.003018282546886445,0.01587297423932669,,9.876604318618774,22.0
②: random_augment only,43,0.11999639052668153,0.22956360947331844,0.053811082628503926,0.10167368496581179,,11.239789962768555,22.0
②: random_augment only,44,0.1904765446683601,0.1590834553316399,0.05531052235208306,0.08908965755763314,,10.931461811065674,22.0
②: random_augment only,45,0.31480343171624486,0.03475656828375512,0.07519323649569942,0.17131103430707922,,9.708865880966187,22.0
②: random_augment only,46,0.0658746492852377,0.2836853507147623,0.017995106202638417,0.017995106202638417,,8.758996963500977,22.0
③: gp_prior only,42,0.003018282546886445,0.3465417174531135,0.003018282546886445,0.003018282546886445,,8.395525932312012,22.0
③: gp_prior only,43,0.18881974218331804,0.16074025781668194,0.053811082628503926,0.12099456135079684,,4.88369607925415,22.0
③: gp_prior only,44,0.1595218724639323,0.1900381275360677,0.05531052235208306,0.09645602128016212,,5.983953237533569,22.0
③: gp_prior only,45,0.26628758936940666,0.08327241063059332,0.07519323649569942,0.15498445899188984,,4.943837881088257,22.0
③: gp_prior only,46,0.1713918450275226,0.17816815497247737,0.017995106202638417,0.11865421301183099,,5.337363004684448,22.0
①: full domain knowledge,42,0.003018282546886445,0.3465417174531135,0.003018282546886445,0.003018282546886445,,9.015580892562866,22.0
①: full domain knowledge,43,0.2483923550920655,0.10116764490793448,0.053811082628503926,0.2389734931961889,,19.942302227020264,22.0
①: full domain knowledge,44,0.3011274564051699,0.04843254359483007,0.05531052235208306,0.0722534685815894,,22.022578954696655,22.0
①: full domain knowledge,45,0.3306318271324944,0.018928172867505588,0.07519323649569942,0.33123496420183657,9.0,15.091087102890015,9.0
①: full domain knowledge,46,0.18555205880333103,0.16400794119666895,0.017995106202638417,0.052700734877071526,,14.83083701133728,22.0
④: Arrhenius mean only,42,0.003018282546886445,0.3465417174531135,0.003018282546886445,0.003018282546886445,,5.818304061889648,22.0
④: Arrhenius mean only,43,0.1895202270942607,0.16003977290573929,0.053811082628503926,0.1803007577387021,,6.02852201461792,22.0
④: Arrhenius mean only,44,0.06655419755187734,0.2830058024481226,0.05531052235208306,0.06286049093179874,,7.804586887359619,22.0
④: Arrhenius mean only,45,0.28914703877775566,0.06041296122224432,0.07519323649569942,0.28914703877775566,,6.6534178256988525,22.0
④: Arrhenius mean only,46,0.018426821298528524,0.33113317870147146,0.017995106202638417,0.017995106202638417,,8.304047107696533,22.0
⑤: mono + gp_prior (rescued),42,0.003018282546886445,0.3465417174531135,0.003018282546886445,0.003018282546886445,,6.587757110595703,22.0
⑤: mono + gp_prior (rescued),43,0.20830419010677048,0.1412558098932295,0.053811082628503926,0.14021181152242518,,4.873408079147339,22.0
⑤: mono + gp_prior (rescued),44,0.07442476197083382,0.2751352380291662,0.05531052235208306,0.054991957391589345,,6.815537929534912,22.0
⑤: mono + gp_prior (rescued),45,0.2661410218028578,0.08341897819714217,0.07519323649569942,0.20928101324397888,,5.447991132736206,22.0
⑤: mono + gp_prior (rescued),46,0.02730235451373454,0.32225764548626545,0.017995106202638417,0.017995106202638417,,8.41734004020691,22.0
G: WRONG-direction monotone,42,0.004888115279504138,0.34467188472049587,0.003018282546886445,0.003018282546886445,,8.819315910339355,22.0
G: WRONG-direction monotone,43,0.17292839072613178,0.1766316092738682,0.053811082628503926,0.08065588840175189,,9.712775945663452,22.0
G: WRONG-direction monotone,44,0.05689687351529731,0.29266312648470266,0.05531052235208306,0.0545283406887536,,9.207980155944824,22.0
G: WRONG-direction monotone,45,0.2139377239381906,0.13562227606180938,0.07519323649569942,0.14447449694559966,,9.157349109649658,22.0
G: WRONG-direction monotone,46,0.025625782077137976,0.32393421792286203,0.017995106202638417,0.017995106202638417,,4.402039051055908,22.0
