config,seed,clean_final,gap_final,clean@doe_end,clean@mid,trials_to_95pct,secs,_ttg
A: baseline (plain GP),42,0.34032681309740836,0.009233186902591617,0.11659351721253003,0.326041703953067,14.0,5.964723825454712,14.0
A: baseline (plain GP),43,0.3387479201898612,0.010812079810138764,0.24576811961858747,0.2637674523534832,15.0,4.403061151504517,15.0
A: baseline (plain GP),44,0.29963535099211946,0.04992464900788052,0.07103377611999968,0.11650473469040422,,5.1186559200286865,22.0
A: baseline (plain GP),45,0.34695324421859547,0.002606755781404513,0.0903268072906483,0.2043593184897828,17.0,5.372849941253662,17.0
A: baseline (plain GP),46,0.3485918721946303,0.0009681278053697007,0.09859505457393253,0.2719235635725832,17.0,5.249190092086792,17.0
②: random_augment only,42,0.2579540744696213,0.09160592553037866,0.11659351721253003,0.2579540744696213,,5.914875745773315,22.0
②: random_augment only,43,0.3437274313331388,0.00583256866686116,0.24576811961858747,0.32686313448849996,16.0,5.199402809143066,16.0
②: random_augment only,44,0.24130439239425341,0.10825560760574657,0.07103377611999968,0.12477193187685826,,6.117507219314575,22.0
②: random_augment only,45,0.3171528628915632,0.03240713710843679,0.0903268072906483,0.2632319317085215,,6.474794149398804,22.0
②: random_augment only,46,0.1997223170256684,0.1498376829743316,0.09859505457393253,0.1652768335109853,,5.696782827377319,22.0
③: gp_prior only,42,0.34626447865526583,0.0032955213447341536,0.11659351721253003,0.2753003775621884,17.0,3.785231113433838,17.0
③: gp_prior only,43,0.34089530266623763,0.00866469733376235,0.24576811961858747,0.34089530266623763,11.0,5.514854907989502,11.0
③: gp_prior only,44,0.3023489221740885,0.047211077825911496,0.07103377611999968,0.15634582712488196,,4.689518213272095,22.0
③: gp_prior only,45,0.3452164346858309,0.004343565314169073,0.0903268072906483,0.22613535843426127,21.0,4.3731231689453125,21.0
③: gp_prior only,46,0.3283243682552454,0.02123563174475457,0.09859505457393253,0.14492357018986343,,3.800565004348755,22.0
①: full domain knowledge,42,0.22774505950431936,0.12181494049568062,0.11659351721253003,0.2209484887340772,,14.491740226745605,22.0
①: full domain knowledge,43,0.3003263977659567,0.04923360223404327,0.24576811961858747,0.3003263977659567,,13.508432865142822,22.0
①: full domain knowledge,44,0.3476015858767338,0.0019584141232661945,0.07103377611999968,0.09777621740739195,18.0,12.177416801452637,18.0
①: full domain knowledge,45,0.3239697705386864,0.025590229461313563,0.0903268072906483,0.2304364184029004,,12.27183198928833,22.0
①: full domain knowledge,46,0.34531050127693114,0.004249498723068845,0.09859505457393253,0.23366182356615484,20.0,10.322233200073242,20.0
④: Arrhenius mean only,42,0.34739379545684446,0.0021662045431555255,0.11659351721253003,0.3186034071925347,14.0,4.7098548412323,14.0
④: Arrhenius mean only,43,0.32692653287004314,0.02263346712995684,0.24576811961858747,0.31725284180104774,,4.19484281539917,22.0
④: Arrhenius mean only,44,0.33441166506232184,0.015148334937678143,0.07103377611999968,0.09284443713182786,20.0,5.955449104309082,20.0
④: Arrhenius mean only,45,0.3328900267236723,0.016669973276327688,0.0903268072906483,0.22744474258840675,20.0,5.140626907348633,20.0
④: Arrhenius mean only,46,0.34877104612017695,0.0007889538798230289,0.09859505457393253,0.2569273826333599,16.0,5.147479057312012,16.0
⑤: mono + gp_prior (rescued),42,0.3312161078877214,0.018343892112278604,0.11659351721253003,0.21980008459978975,,3.8775687217712402,22.0
⑤: mono + gp_prior (rescued),43,0.3447357925045133,0.0048242074954866765,0.24576811961858747,0.3002117178941642,18.0,3.7688050270080566,18.0
⑤: mono + gp_prior (rescued),44,0.24574175274203378,0.1038182472579662,0.07103377611999968,0.10871705679146672,,4.468102931976318,22.0
⑤: mono + gp_prior (rescued),45,0.34143315599770274,0.00812684400229724,0.0903268072906483,0.3438953323614513,13.0,3.6847951412200928,13.0
⑤: mono + gp_prior (rescued),46,0.34416975006716893,0.005390249932831048,0.09859505457393253,0.253693127713607,19.0,3.9493279457092285,19.0
G: WRONG-direction monotone,42,0.19087816108840147,0.1586818389115985,0.11659351721253003,0.15100090162199914,,7.526930093765259,22.0
G: WRONG-direction monotone,43,0.2469102000218574,0.10264979997814258,0.24576811961858747,0.2469102000218574,,5.827162981033325,22.0
G: WRONG-direction monotone,44,0.13749396886573634,0.21206603113426364,0.07103377611999968,0.13126786156796455,,6.7058069705963135,22.0
G: WRONG-direction monotone,45,0.16993778736578244,0.17962221263421754,0.0903268072906483,0.13997898835988098,,6.987159013748169,22.0
G: WRONG-direction monotone,46,0.11974916885501817,0.2298108311449818,0.09859505457393253,0.10429624103432736,,5.878706932067871,22.0
